,target,shape,surface,color
141,edible,sunken,fibrous,brown
142,edible,flat,scaly,brown
143,edible,convex,scaly,yellow
144,edible,convex,fibrous,gray
145,edible,flat,fibrous,white
146,edible,convex,scaly,yellow
147,edible,bell,smooth,yellow
148,edible,bell,scaly,white
149,edible,convex,scaly,white
150,edible,convex,smooth,brown
151,edible,convex,scaly,white
152,edible,sunken,fibrous,brown
153,edible,convex,smooth,white
154,edible,convex,scaly,brown
155,edible,bell,scaly,yellow
156,edible,convex,scaly,white
157,edible,bell,scaly,white
158,edible,bell,smooth,yellow
159,edible,bell,smooth,yellow
160,edible,bell,scaly,yellow
161,edible,convex,fibrous,brown
162,edible,flat,scaly,brown
163,edible,convex,scaly,white
164,edible,flat,scaly,yellow
165,edible,bell,smooth,white
166,edible,bell,smooth,white
167,edible,convex,scaly,brown
168,edible,bell,smooth,white
169,edible,convex,fibrous,gray
170,edible,bell,smooth,yellow
171,edible,convex,fibrous,yellow
172,edible,bell,scaly,yellow
173,edible,flat,scaly,yellow
174,edible,bell,scaly,white
175,edible,bell,scaly,white
176,edible,bell,scaly,yellow
177,edible,convex,scaly,yellow
178,edible,bell,smooth,yellow
179,poisonous,convex,scaly,white
180,edible,sunken,fibrous,brown
181,edible,flat,fibrous,brown
182,edible,convex,smooth,yellow
183,edible,flat,scaly,brown
184,poisonous,convex,scaly,white
185,edible,bell,smooth,white
186,edible,flat,fibrous,gray
187,edible,bell,scaly,yellow
188,edible,convex,scaly,brown
189,edible,convex,fibrous,white
190,edible,convex,smooth,white
191,edible,bell,smooth,white
192,edible,flat,smooth,yellow
193,edible,convex,smooth,yellow
194,edible,flat,fibrous,gray
195,edible,bell,smooth,yellow
196,edible,convex,smooth,white
197,edible,convex,scaly,white
198,edible,flat,smooth,white
199,edible,convex,scaly,yellow
200,edible,bell,smooth,white
201,edible,convex,smooth,white
202,edible,convex,fibrous,white
203,edible,flat,scaly,brown
204,poisonous,convex,smooth,white
205,edible,bell,smooth,white
206,edible,bell,smooth,white
207,edible,bell,scaly,white
208,edible,bell,scaly,white
209,edible,convex,smooth,yellow
210,edible,bell,smooth,white
211,edible,convex,fibrous,yellow
212,edible,convex,fibrous,gray
213,edible,flat,scaly,yellow
214,edible,bell,smooth,white
215,edible,convex,smooth,yellow
216,edible,convex,scaly,yellow
217,edible,convex,scaly,white
218,edible,sunken,fibrous,gray
219,edible,convex,smooth,white
220,poisonous,convex,smooth,white
221,edible,convex,scaly,yellow
222,edible,flat,fibrous,white
223,edible,convex,scaly,white
224,edible,bell,scaly,white
225,edible,convex,smooth,white
226,edible,convex,smooth,yellow
227,poisonous,convex,scaly,brown
228,edible,bell,smooth,yellow
229,edible,convex,fibrous,gray
230,poisonous,convex,scaly,white
231,edible,convex,scaly,yellow
232,edible,flat,fibrous,brown
233,edible,bell,smooth,white
234,edible,convex,fibrous,white
235,edible,convex,scaly,white
236,edible,bell,scaly,yellow
237,edible,convex,scaly,yellow
238,edible,flat,scaly,yellow
239,edible,flat,scaly,yellow
240,edible,convex,smooth,white
241,edible,convex,smooth,white
242,poisonous,convex,smooth,white
243,edible,flat,fibrous,white
244,edible,convex,smooth,white
245,edible,convex,smooth,white
246,edible,convex,scaly,white
247,edible,flat,scaly,yellow
248,edible,convex,smooth,brown
249,edible,flat,scaly,yellow
250,poisonous,convex,smooth,brown
251,edible,sunken,fibrous,brown
252,edible,bell,scaly,yellow
253,edible,bell,smooth,white
254,edible,bell,scaly,white
255,edible,flat,fibrous,brown
256,edible,convex,smooth,white
257,edible,bell,scaly,white
258,edible,bell,scaly,white
259,edible,flat,scaly,brown
260,poisonous,convex,scaly,white
261,edible,convex,smooth,white
262,edible,convex,scaly,white
263,edible,flat,fibrous,white
264,edible,flat,fibrous,gray
265,edible,flat,smooth,gray
266,edible,convex,scaly,yellow
267,edible,bell,smooth,white
268,poisonous,flat,scaly,brown
269,edible,convex,smooth,white
270,poisonous,flat,smooth,brown
271,edible,convex,scaly,white
272,edible,convex,scaly,yellow
273,edible,flat,scaly,yellow
274,edible,convex,scaly,brown
275,edible,flat,scaly,brown
276,edible,convex,scaly,white
277,edible,flat,fibrous,brown
278,edible,convex,smooth,yellow
279,poisonous,convex,scaly,white
280,edible,bell,scaly,yellow
281,edible,sunken,fibrous,brown
282,edible,convex,smooth,yellow
283,edible,bell,scaly,white
284,edible,flat,scaly,brown
285,edible,bell,scaly,yellow
286,edible,bell,scaly,white
287,edible,convex,scaly,brown
288,edible,flat,fibrous,gray
289,edible,convex,fibrous,gray
290,edible,bell,scaly,yellow
291,edible,convex,smooth,yellow
292,edible,bell,scaly,white
293,edible,convex,smooth,white
294,edible,bell,smooth,yellow
295,edible,convex,smooth,yellow
296,edible,convex,fibrous,gray
297,edible,flat,smooth,yellow
298,poisonous,convex,scaly,white
299,edible,convex,fibrous,white
300,edible,bell,scaly,white
301,edible,convex,smooth,yellow
302,edible,bell,scaly,white
303,edible,convex,scaly,white
304,edible,convex,fibrous,brown
305,edible,bell,scaly,white
306,edible,convex,smooth,yellow
307,edible,flat,scaly,brown
308,edible,convex,fibrous,white
309,edible,convex,smooth,yellow
310,poisonous,convex,scaly,white
311,edible,convex,scaly,yellow
312,edible,convex,fibrous,white
313,edible,bell,smooth,yellow
314,poisonous,convex,scaly,white
315,edible,convex,smooth,yellow
316,edible,convex,scaly,white
317,edible,convex,fibrous,white
318,edible,flat,smooth,white
319,edible,convex,scaly,yellow
320,edible,flat,fibrous,yellow
321,edible,convex,smooth,white
322,edible,bell,scaly,yellow
323,edible,convex,scaly,brown
324,edible,bell,scaly,white
325,edible,convex,smooth,yellow
326,poisonous,convex,scaly,brown
327,edible,bell,smooth,yellow
328,edible,bell,scaly,white
329,poisonous,convex,scaly,brown
330,edible,bell,smooth,white
331,edible,bell,scaly,yellow
332,edible,bell,scaly,yellow
333,edible,convex,scaly,white
334,edible,convex,fibrous,brown
335,edible,convex,scaly,brown
336,edible,bell,smooth,yellow
337,edible,convex,fibrous,gray
338,edible,convex,scaly,brown
339,edible,convex,smooth,white
340,edible,bell,scaly,white
341,edible,convex,smooth,yellow
342,edible,flat,fibrous,yellow
343,edible,bell,scaly,yellow
344,edible,convex,fibrous,brown
345,edible,convex,fibrous,yellow
346,edible,convex,smooth,yellow
347,edible,flat,smooth,gray
348,edible,convex,fibrous,brown
349,edible,flat,smooth,gray
350,edible,flat,scaly,brown
351,edible,bell,scaly,white
352,edible,bell,smooth,yellow
353,edible,convex,scaly,yellow
354,edible,sunken,fibrous,gray
355,edible,flat,scaly,brown
356,poisonous,convex,scaly,brown
357,edible,convex,scaly,yellow
358,edible,convex,scaly,yellow
359,edible,convex,fibrous,brown
360,edible,convex,fibrous,brown
361,edible,flat,smooth,brown
362,edible,flat,scaly,brown
363,edible,convex,smooth,yellow
364,edible,flat,fibrous,brown
365,edible,convex,scaly,yellow
366,edible,convex,fibrous,yellow
367,edible,bell,scaly,yellow
368,edible,convex,fibrous,gray
369,edible,convex,scaly,yellow
370,edible,flat,scaly,brown
371,edible,convex,smooth,yellow
372,edible,sunken,fibrous,brown
373,edible,convex,smooth,white
374,edible,bell,smooth,white
375,edible,sunken,fibrous,brown
376,edible,bell,scaly,yellow
377,edible,convex,scaly,yellow
378,edible,bell,scaly,yellow
379,poisonous,convex,scaly,brown
380,edible,convex,smooth,white
381,edible,convex,scaly,white
382,edible,bell,smooth,white
383,edible,convex,fibrous,brown
384,poisonous,convex,smooth,brown
385,edible,convex,scaly,brown
386,edible,convex,smooth,brown
387,edible,bell,scaly,yellow
388,edible,convex,smooth,yellow
389,edible,bell,smooth,yellow
390,edible,convex,smooth,yellow
391,edible,bell,scaly,white
392,edible,convex,fibrous,gray
393,edible,flat,scaly,brown
394,edible,convex,fibrous,gray
395,edible,convex,smooth,white
396,edible,convex,scaly,yellow
397,edible,convex,fibrous,gray
398,poisonous,convex,smooth,brown
399,edible,bell,scaly,white
400,edible,bell,scaly,white
401,poisonous,convex,scaly,brown
402,edible,bell,smooth,yellow
403,edible,convex,smooth,white
404,edible,convex,scaly,yellow
405,edible,bell,scaly,yellow
406,edible,convex,smooth,white
407,edible,convex,smooth,white
408,edible,convex,scaly,brown
409,edible,convex,smooth,white
410,edible,convex,smooth,brown
411,edible,convex,scaly,brown
412,edible,convex,scaly,yellow
413,poisonous,convex,scaly,brown
414,edible,bell,scaly,yellow
415,edible,convex,fibrous,white
416,poisonous,convex,smooth,brown
417,edible,convex,scaly,yellow
418,edible,flat,fibrous,gray
419,edible,convex,scaly,white
420,edible,bell,scaly,white
421,poisonous,convex,scaly,brown
422,edible,flat,scaly,brown
423,edible,convex,smooth,white
424,edible,convex,smooth,white
425,edible,flat,scaly,brown
426,edible,bell,smooth,white
427,edible,convex,smooth,white
428,edible,flat,fibrous,gray
429,edible,convex,scaly,white
430,edible,convex,scaly,yellow
431,edible,bell,smooth,yellow
432,edible,bell,smooth,yellow
433,edible,flat,smooth,white
434,edible,bell,smooth,white
435,edible,convex,fibrous,yellow
436,edible,convex,scaly,white
437,edible,bell,scaly,yellow
438,edible,convex,scaly,brown
439,edible,convex,scaly,white
440,edible,convex,scaly,white
441,edible,convex,scaly,yellow
442,edible,convex,scaly,white
443,edible,convex,smooth,yellow
444,edible,convex,scaly,brown
445,edible,convex,smooth,white
446,edible,flat,scaly,brown
447,edible,bell,smooth,white
448,edible,convex,fibrous,brown
449,edible,convex,scaly,white
450,edible,bell,smooth,white
451,edible,bell,smooth,yellow
452,edible,convex,fibrous,yellow
453,edible,bell,smooth,white
454,edible,convex,smooth,gray
455,edible,bell,smooth,white
456,edible,bell,smooth,yellow
457,edible,flat,scaly,yellow
458,edible,flat,scaly,brown
459,edible,convex,smooth,white
460,edible,flat,scaly,yellow
461,edible,bell,smooth,white
462,edible,convex,scaly,yellow
463,edible,convex,fibrous,brown
464,edible,flat,scaly,brown
465,edible,convex,smooth,white
466,edible,convex,smooth,yellow
467,edible,bell,scaly,yellow
468,edible,flat,scaly,yellow
469,edible,convex,scaly,yellow
470,edible,convex,scaly,white
471,edible,flat,fibrous,white
472,edible,sunken,fibrous,gray
473,edible,flat,smooth,yellow
474,edible,flat,fibrous,gray
475,edible,convex,fibrous,brown
476,edible,bell,scaly,white
477,edible,convex,smooth,white
478,edible,bell,scaly,yellow
479,edible,bell,scaly,yellow
480,edible,bell,scaly,yellow
481,edible,flat,smooth,white
482,edible,flat,fibrous,gray
483,edible,flat,smooth,white
484,edible,flat,scaly,yellow
485,edible,convex,scaly,white
486,edible,sunken,fibrous,brown
487,edible,convex,scaly,brown
488,edible,convex,scaly,brown
489,edible,flat,fibrous,yellow
490,poisonous,flat,smooth,brown
491,poisonous,convex,smooth,brown
492,edible,flat,scaly,brown
493,edible,convex,scaly,yellow
494,edible,bell,smooth,yellow
495,edible,flat,fibrous,white
496,edible,flat,scaly,brown
497,edible,convex,scaly,white
498,edible,bell,smooth,yellow
499,edible,convex,smooth,yellow
500,edible,bell,scaly,yellow
501,edible,convex,smooth,white
502,edible,bell,smooth,yellow
503,edible,bell,scaly,yellow
504,poisonous,convex,smooth,brown
505,edible,convex,smooth,gray
506,edible,flat,smooth,brown
507,edible,convex,fibrous,white
508,edible,flat,fibrous,gray
509,edible,flat,fibrous,brown
510,edible,bell,scaly,yellow
511,edible,convex,fibrous,white
512,edible,sunken,fibrous,gray
513,edible,convex,fibrous,brown
514,edible,convex,fibrous,white
515,edible,convex,scaly,brown
516,edible,bell,smooth,yellow
517,edible,convex,scaly,white
518,edible,convex,scaly,yellow
519,edible,convex,smooth,white
520,edible,bell,smooth,white
521,edible,flat,scaly,yellow
522,poisonous,convex,smooth,brown
523,edible,flat,fibrous,gray
524,edible,bell,smooth,yellow
525,edible,flat,scaly,brown
526,edible,convex,smooth,yellow
527,edible,convex,fibrous,brown
528,edible,flat,scaly,yellow
529,edible,convex,scaly,brown
530,edible,convex,smooth,white
531,poisonous,convex,scaly,white
532,edible,flat,scaly,brown
533,poisonous,flat,smooth,brown
534,edible,convex,fibrous,white
535,edible,bell,scaly,white
536,edible,sunken,fibrous,brown
537,edible,convex,scaly,yellow
538,edible,flat,smooth,white
539,edible,convex,smooth,yellow
540,edible,flat,fibrous,gray
541,poisonous,convex,scaly,white
542,edible,convex,scaly,yellow
543,edible,flat,fibrous,brown
544,edible,convex,smooth,white
545,edible,bell,scaly,yellow
546,edible,flat,fibrous,gray
547,edible,convex,fibrous,yellow
548,edible,convex,smooth,yellow
549,edible,flat,fibrous,brown
550,edible,convex,fibrous,gray
551,edible,convex,scaly,yellow
552,edible,flat,smooth,white
553,edible,convex,smooth,yellow
554,edible,flat,scaly,yellow
555,poisonous,convex,scaly,brown
556,edible,convex,fibrous,white
557,edible,convex,smooth,white
558,edible,convex,scaly,yellow
559,edible,bell,smooth,yellow
560,edible,convex,smooth,yellow
561,edible,convex,smooth,yellow
562,edible,convex,fibrous,white
563,edible,bell,smooth,white
564,poisonous,convex,scaly,white
565,edible,convex,scaly,yellow
566,edible,flat,smooth,gray
567,poisonous,convex,smooth,brown
568,edible,bell,scaly,white
569,edible,convex,smooth,white
570,edible,flat,fibrous,yellow
571,edible,convex,smooth,yellow
572,edible,bell,scaly,white
573,edible,convex,scaly,brown
574,edible,convex,smooth,yellow
575,edible,convex,fibrous,brown
576,edible,convex,smooth,yellow
577,edible,convex,scaly,yellow
578,poisonous,convex,smooth,brown
579,edible,convex,smooth,white
580,edible,convex,smooth,yellow
581,edible,convex,scaly,white
582,edible,convex,scaly,yellow
583,edible,flat,scaly,yellow
584,edible,convex,scaly,white
585,edible,sunken,fibrous,gray
586,edible,flat,fibrous,brown
587,edible,sunken,fibrous,gray
588,edible,convex,scaly,white
589,poisonous,convex,smooth,white
590,edible,convex,smooth,gray
591,edible,convex,scaly,yellow
592,poisonous,convex,scaly,white
593,edible,convex,smooth,yellow
594,poisonous,convex,smooth,brown
595,edible,bell,smooth,yellow
596,edible,bell,scaly,white
597,poisonous,convex,scaly,white
598,poisonous,convex,smooth,brown
599,edible,convex,smooth,gray
600,edible,convex,scaly,brown
601,edible,flat,fibrous,white
602,edible,flat,scaly,brown
603,edible,bell,scaly,white
604,edible,bell,smooth,white
605,edible,convex,smooth,gray
606,edible,flat,scaly,brown
607,edible,convex,smooth,white
608,edible,flat,fibrous,gray
609,edible,flat,smooth,brown
610,edible,convex,fibrous,gray
611,edible,flat,smooth,white
612,poisonous,convex,smooth,white
613,edible,convex,scaly,yellow
614,edible,bell,smooth,white
615,edible,flat,fibrous,gray
616,edible,bell,scaly,white
617,edible,bell,smooth,yellow
618,edible,sunken,fibrous,gray
619,edible,flat,scaly,yellow
620,edible,bell,smooth,white
621,edible,convex,fibrous,white
622,edible,flat,scaly,yellow
623,edible,flat,fibrous,gray
624,edible,convex,smooth,white
625,edible,flat,fibrous,yellow
626,edible,sunken,fibrous,gray
627,edible,bell,scaly,white
628,edible,bell,smooth,white
629,edible,flat,fibrous,brown
630,edible,bell,scaly,yellow
631,edible,convex,fibrous,brown
632,edible,convex,scaly,brown
633,edible,convex,scaly,brown
634,edible,bell,scaly,yellow
635,edible,flat,scaly,yellow
636,edible,convex,scaly,yellow
637,edible,convex,smooth,brown
638,edible,convex,scaly,white
639,edible,bell,scaly,yellow
640,edible,convex,scaly,brown
641,edible,flat,scaly,brown
642,edible,flat,scaly,brown
643,edible,flat,scaly,yellow
644,edible,convex,smooth,yellow
645,edible,bell,scaly,white
646,edible,bell,smooth,white
647,edible,convex,scaly,yellow
648,edible,flat,fibrous,white
649,edible,convex,smooth,yellow
650,edible,bell,smooth,yellow
651,edible,flat,scaly,yellow
652,poisonous,convex,scaly,brown
653,poisonous,convex,scaly,white
654,edible,convex,smooth,yellow
655,edible,flat,fibrous,white
656,edible,bell,smooth,yellow
657,edible,convex,scaly,yellow
658,edible,flat,fibrous,gray
659,edible,bell,smooth,white
660,edible,convex,smooth,white
661,poisonous,convex,scaly,brown
662,poisonous,convex,smooth,brown
663,edible,bell,smooth,white
664,edible,bell,smooth,yellow
665,edible,flat,scaly,brown
666,edible,convex,scaly,yellow
667,edible,flat,scaly,yellow
668,edible,convex,scaly,white
669,edible,convex,smooth,yellow
670,edible,flat,fibrous,brown
671,edible,flat,fibrous,brown
672,edible,convex,fibrous,yellow
673,edible,flat,scaly,yellow
674,edible,flat,fibrous,brown
675,edible,flat,fibrous,gray
676,edible,convex,scaly,brown
677,edible,convex,scaly,yellow
678,edible,bell,smooth,white
679,edible,convex,smooth,white
680,edible,convex,scaly,white
681,edible,convex,fibrous,yellow
682,edible,bell,smooth,yellow
683,edible,convex,fibrous,brown
684,edible,convex,scaly,white
685,edible,flat,fibrous,gray
686,edible,bell,scaly,white
687,edible,convex,scaly,yellow
688,edible,convex,smooth,white
689,edible,bell,smooth,yellow
690,edible,bell,scaly,white
691,edible,convex,scaly,brown
692,edible,flat,smooth,gray
693,poisonous,convex,scaly,brown
694,edible,bell,scaly,white
695,edible,bell,smooth,yellow
696,poisonous,convex,scaly,brown
697,poisonous,convex,smooth,brown
698,edible,flat,smooth,brown
699,poisonous,convex,smooth,brown
700,edible,flat,fibrous,gray
701,edible,convex,scaly,yellow
702,edible,bell,scaly,white
703,edible,flat,scaly,yellow
704,edible,flat,scaly,yellow
705,edible,bell,scaly,yellow
706,edible,sunken,fibrous,brown
707,edible,convex,smooth,white
708,edible,bell,scaly,yellow
709,edible,flat,scaly,yellow
710,edible,flat,smooth,brown
711,edible,convex,smooth,white
712,edible,bell,scaly,yellow
713,edible,bell,scaly,yellow
714,edible,bell,scaly,yellow
715,edible,bell,smooth,white
716,edible,convex,scaly,yellow
717,edible,convex,scaly,brown
718,edible,sunken,fibrous,brown
719,edible,flat,scaly,brown
720,edible,convex,smooth,white
721,edible,flat,smooth,yellow
722,edible,convex,smooth,brown
723,edible,flat,scaly,yellow
724,poisonous,convex,scaly,brown
725,edible,convex,smooth,white
726,edible,convex,fibrous,white
727,edible,bell,smooth,white
728,edible,convex,scaly,white
729,edible,flat,scaly,yellow
730,edible,convex,fibrous,brown
731,poisonous,convex,smooth,white
732,poisonous,convex,scaly,white
733,edible,convex,scaly,white
734,edible,bell,scaly,white
735,edible,convex,fibrous,white
736,poisonous,convex,scaly,white
737,edible,convex,smooth,white
738,edible,convex,fibrous,gray
739,edible,convex,fibrous,brown
740,edible,bell,smooth,white
741,edible,convex,scaly,brown
742,edible,bell,scaly,white
743,edible,flat,scaly,yellow
744,edible,convex,scaly,white
745,edible,bell,scaly,white
746,edible,bell,scaly,white
747,poisonous,convex,smooth,brown
748,edible,flat,smooth,yellow
749,edible,convex,scaly,brown
750,edible,bell,smooth,yellow
751,edible,flat,smooth,white
752,edible,bell,scaly,yellow
753,edible,bell,scaly,yellow
754,edible,bell,smooth,yellow
755,edible,flat,scaly,yellow
756,edible,convex,smooth,white
757,edible,bell,scaly,yellow
758,edible,convex,scaly,brown
759,edible,bell,smooth,white
760,edible,flat,scaly,brown
761,edible,convex,smooth,white
762,edible,convex,fibrous,brown
763,edible,convex,scaly,brown
764,edible,flat,fibrous,gray
765,edible,convex,smooth,white
766,edible,flat,fibrous,brown
767,edible,bell,scaly,yellow
768,edible,bell,smooth,white
769,edible,convex,smooth,white
770,edible,bell,smooth,yellow
771,edible,convex,scaly,yellow
772,edible,convex,smooth,yellow
773,edible,flat,fibrous,gray
774,edible,convex,scaly,yellow
775,poisonous,convex,scaly,brown
776,edible,convex,scaly,brown
777,edible,convex,smooth,yellow
778,edible,bell,scaly,white
779,edible,convex,scaly,yellow
780,edible,sunken,fibrous,brown
781,edible,bell,scaly,yellow
782,edible,convex,smooth,white
783,edible,convex,smooth,white
784,poisonous,convex,smooth,brown
785,edible,convex,fibrous,brown
786,edible,convex,scaly,yellow
787,poisonous,convex,scaly,brown
788,edible,convex,scaly,yellow
789,edible,bell,scaly,yellow
790,edible,flat,scaly,brown
791,edible,convex,scaly,white
792,edible,convex,smooth,yellow
793,poisonous,convex,scaly,brown
794,poisonous,convex,scaly,brown
795,edible,bell,scaly,yellow
796,edible,convex,smooth,white
797,poisonous,convex,smooth,white
798,edible,convex,scaly,brown
799,edible,bell,smooth,white
800,edible,convex,scaly,yellow
801,poisonous,convex,smooth,brown
802,edible,bell,scaly,yellow
803,edible,bell,scaly,white
804,edible,flat,scaly,yellow
805,edible,bell,scaly,white
806,edible,convex,scaly,yellow
807,edible,bell,smooth,yellow
808,edible,convex,smooth,yellow
809,edible,bell,smooth,yellow
810,edible,bell,smooth,yellow
811,poisonous,convex,scaly,white
812,poisonous,convex,scaly,white
813,poisonous,convex,smooth,brown
814,edible,convex,smooth,white
815,edible,convex,scaly,brown
816,edible,convex,scaly,yellow
817,edible,convex,smooth,white
818,edible,bell,scaly,white
819,edible,bell,smooth,yellow
820,edible,convex,fibrous,gray
821,edible,bell,smooth,yellow
822,edible,convex,smooth,white
823,edible,convex,scaly,brown
824,edible,convex,scaly,yellow
825,edible,flat,fibrous,white
826,edible,flat,fibrous,white
827,edible,convex,smooth,white
828,edible,flat,smooth,yellow
829,edible,sunken,fibrous,gray
830,edible,flat,fibrous,yellow
831,edible,convex,scaly,brown
832,edible,convex,scaly,yellow
833,edible,convex,scaly,yellow
834,poisonous,convex,smooth,brown
835,edible,convex,smooth,yellow
836,poisonous,convex,scaly,white
837,edible,convex,scaly,yellow
838,edible,convex,scaly,white
839,edible,flat,smooth,yellow
840,poisonous,convex,scaly,brown
841,edible,bell,smooth,white
842,edible,sunken,fibrous,gray
843,edible,convex,smooth,yellow
844,edible,convex,fibrous,gray
845,edible,convex,scaly,yellow
846,edible,bell,scaly,white
847,edible,bell,smooth,yellow
848,edible,convex,smooth,white
849,edible,bell,smooth,white
850,edible,flat,scaly,brown
851,edible,sunken,fibrous,gray
852,edible,convex,fibrous,white
853,edible,sunken,fibrous,brown
854,edible,flat,scaly,brown
855,edible,flat,smooth,yellow
856,edible,bell,smooth,yellow
857,edible,bell,smooth,yellow
858,poisonous,convex,smooth,brown
859,edible,flat,scaly,brown
860,edible,convex,smooth,yellow
861,edible,flat,scaly,yellow
862,edible,convex,scaly,white
863,edible,convex,scaly,yellow
864,edible,convex,scaly,yellow
865,edible,flat,fibrous,brown
866,edible,flat,scaly,yellow
867,edible,convex,fibrous,gray
868,edible,convex,smooth,yellow
869,edible,flat,scaly,brown
870,edible,convex,smooth,yellow
871,edible,convex,scaly,yellow
872,edible,convex,fibrous,brown
873,edible,convex,smooth,white
874,edible,convex,scaly,yellow
875,edible,convex,scaly,white
876,edible,convex,smooth,white
877,edible,flat,scaly,yellow
878,edible,bell,smooth,yellow
879,edible,flat,fibrous,white
880,edible,flat,smooth,gray
881,edible,convex,scaly,white
882,edible,convex,scaly,white
883,edible,flat,scaly,yellow
884,edible,convex,smooth,white
885,edible,convex,smooth,yellow
886,edible,flat,scaly,yellow
887,edible,convex,scaly,yellow
888,edible,convex,smooth,yellow
889,edible,convex,fibrous,brown
890,edible,flat,scaly,yellow
891,edible,convex,smooth,white
892,edible,bell,smooth,yellow
893,edible,convex,smooth,yellow
894,edible,convex,scaly,brown
895,edible,bell,scaly,yellow
896,edible,convex,smooth,white
897,edible,convex,scaly,white
898,edible,convex,smooth,yellow
899,edible,flat,scaly,yellow
900,edible,convex,fibrous,white
901,edible,convex,smooth,brown
902,edible,convex,smooth,white
903,edible,convex,smooth,yellow
904,edible,flat,fibrous,white
